No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
102,201601,합천수위표,20,낙동강권역,2016,96.7,68.1,86,90.1,85.2
152,520101,군내천,52,섬진강-영산강권역,5201,86.7,63.9,83,97.3,82.7
154,510103,금강천,51,섬진강-영산강권역,5101,88.8,68.6,76.9,93.8,82
108,500702,영암천,50,섬진강-영산강권역,5007,93.5,64.4,78.5,89.4,81.5
167,520204,화원면,52,섬진강-영산강권역,5202,84.2,69.7,79.4,92.4,81.4
92,500604,영암천합류전,50,섬진강-영산강권역,5006,96,64.4,74.5,84.5,79.9
110,500603,삼포강,50,섬진강-영산강권역,5006,90.4,64.4,75.4,88.9,79.8
218,200803,병천교수위표,20,낙동강권역,2008,69.1,76.9,81,91.5,79.6
71,301401,입포수위표,30,금강권역,3014,97.6,68.4,72.5,76.6,78.8
90,201701,적포교수위표,20,낙동강권역,2017,90.9,63.5,81,79.4,78.7
159,301208,백제보,30,금강권역,3012,90,55.4,85.2,83.6,78.6
72,301212,금천,30,금강권역,3012,99.3,61.4,72.5,80.3,78.4
163,530202,구암천,53,섬진강-영산강권역,5302,73.7,66.9,77.2,95.2,78.3
143,250102,곤양천,25,낙동강권역,2501,83,67.6,82.9,78.7,78.1
73,330204,고부천상류,33,금강권역,3302,94.8,64.4,76.8,75,77.8
70,301403,금강하구언,30,금강권역,3014,97.4,66.2,72.9,74.3,77.7
88,310103,삽교천중류,31,금강권역,3101,92.1,68.4,73.9,75.5,77.5
99,320308,판교천,32,금강권역,3203,85.6,63.9,82.2,78.2,77.5
104,210107,기계천,21,낙동강권역,2101,91.6,72.4,83.4,61.1,77.1
220,520206,현산천,52,섬진강-영산강권역,5202,63.1,63.9,84.4,96.6,77
130,200806,쌍계천상류,20,낙동강권역,2008,79.5,63.5,79.3,85.2,76.9
132,400909,횡천강,40,섬진강-영산강권역,4009,89,63.9,75,78.9,76.7
68,201704,마수원수위표,20,낙동강권역,2017,95.8,61.4,79.6,68.5,76.3
290,500701,학산천,50,섬진강-영산강권역,5007,72.6,59,76.5,94.5,75.7
107,320302,봉당천,32,금강권역,3203,88.3,62.2,78.4,72.2,75.3
127,200807,남대천,20,낙동강권역,2008,77,72.4,83.9,67.3,75.2
44,202002,계성천,20,낙동강권역,2020,98.3,64.4,75.6,61.8,75
136,330102,경천댐,33,금강권역,3301,67,66.9,79.7,86.1,74.9
171,530204,불갑천,53,섬진강-영산강권역,5302,60,66.1,76.6,96.8,74.9
140,530203,와탄천,53,섬진강-영산강권역,5302,75.8,67.6,76.9,77.8,74.5
38,330112,탑천,33,금강권역,3301,98.8,64.4,75.6,58.3,74.3
155,200810,위천,20,낙동강권역,2008,70.5,73.1,77.9,75.7,74.3
249,400601,곡성천합류전,40,섬진강-영산강권역,4006,64.2,67.7,77.3,88,74.3
173,240206,광천,24,낙동강권역,2402,73.5,70.3,76.3,76.2,74.1
131,400907,하동2수위표,40,섬진강-영산강권역,4009,79.8,66.9,78.7,70.1,73.9
30,201910,남강하류,20,낙동강권역,2019,99.7,68.4,74.5,52.5,73.8
43,201908,함안천합류전,20,낙동강권역,2019,96.9,64.4,78.4,55,73.7
148,500501,고막원천상류,50,섬진강-영산강권역,5005,76.3,63.9,75.1,79.2,73.6
66,201207,금호강상류,20,낙동강권역,2012,89.7,67.5,78.9,57.4,73.4
54,500403,영산포수위표,50,섬진강-영산강권역,5004,96.5,62.6,74.5,59.7,73.3
170,320204,간월방조제,32,금강권역,3202,72.3,62.2,76.2,82,73.2
119,330208,동진강하류,33,금강권역,3302,78.1,61.2,74.7,78,73
80,130205,군선천,13,한강권역,1302,87.2,73.1,74.8,56,72.8
86,201204,고현천,20,낙동강권역,2012,83.7,72.4,79.7,55.3,72.8
135,500404,만봉천,50,섬진강-영산강권역,5004,81.2,63.5,72.6,73.8,72.8
74,400911,섬진강하류,40,섬진강-영산강권역,4009,88.6,68.9,77.1,56.2,72.7
151,530103,주진천,53,섬진강-영산강권역,5301,67.7,64.4,75.4,82.9,72.6
33,330303,새만금방조제,33,금강권역,3303,97.9,68.4,70.8,52,72.3
223,410106,마륜천,41,섬진강-영산강권역,4101,59.1,68.9,68.5,91.7,72.1
247,300706,보청천하류,30,금강권역,3007,59.8,64.4,80.8,83.3,72.1
36,410503,수어천,41,섬진강-영산강권역,4105,95.5,68.9,74.1,48.1,71.7
164,301303,노성천,30,금강권역,3013,67.5,63.9,80.3,75.2,71.7
79,200809,용곡수위표,20,낙동강권역,2008,82.8,68.6,78.7,56.4,71.6
142,200207,임하댐상류,20,낙동강권역,2002,82.5,73.2,77.1,53.6,71.6
150,201705,남강합류전,20,낙동강권역,2017,66.5,63.9,84,72,71.6
174,240203,대서천,24,낙동강권역,2402,73.3,75.7,86.6,50.6,71.6
34,202109,밀양강,20,낙동강권역,2021,97.2,64.4,72.7,51.6,71.5
81,210102,대천,21,낙동강권역,2101,78.8,71.1,78.9,56.9,71.4
125,301304,강경천,30,금강권역,3013,70,66.1,76,73.1,71.3
